Description,Manufacturer part number,Mfg name,Qty
CRYSTAL 12.0000MHZ 8PF SMD,ABM8W-12.0000MHZ-8-D1X-T3,Abracon Corporation,1
CAP CER 0603 16V 10uF X6S +/-20%,CL10X106MO8NRN,Samsung,14
"CAP CERAMIC, 0402, 0.1uF, 50V, X7R, +/-10%",CL05B104KB54PNC,Samsung,20
CAP CER 0805 16 V 22 uF X6S В±20%,CL21X226MOYNNWE,Samsung,1
CAP CER 0402 16V 2.2uF X6S +/-10%,C1005X6S1C225K050BC,TDK,3
"CAP CERAMIC, 0402, 0.01uF, 50V, X7R, +/-10%",CL05B103KB5NNNC,Samsung,1
"CAP CER, 0402, 10pF, 50V, C0G, +/-5%",CL05C100JB5NNNC,Samsung,2
CAP CER 0603 16 V 10 uF X5R В±10%,CL10A106KO8NQNC,Samsung,1
"CAP CER, 0603, 0.1uF, 100V, X7R, +/-10%",CL10B104KC8NNNC,Samsung,2
"CAP CER 1206, 1000pF, В±10%, 2000V, X7R",CC1206KKX7RDBB102,Yageo,2
CRYSTAL 12.0000MHZ 8PF SMD,ABM8W-12.0000MHZ-8-D1X-T3,Abracon Corporation,1
CAP CER 0402 16V 2.2uF X6S +/-10%,C1005X6S1C225K050BC,TDK,11
"CAP CER, 220nF, +/-10%, 16V, X7R, 0402",CL05B224KO5NNNC,Samsung,22
"CAP CERAMIC, 0402, 0.1uF, 50V, X7R, +/-10%",CL05B104KB54PNC,Samsung,27
"CAP CERAMIC, 0603, 10uF, 16V, X6S, +/-20%",GRM188C81C106MA73,Murata,15
"CAP CER, 0402, 10pF, 50V, C0G, +/-5%",CL05C100JB5NNNC,Samsung,2
CAP CER 0402 10uF 10V X5R +/-20%,CL05A106MP6NUN8,Samsung,1
"CAP CER, 0402, 100pF, 50V, C0G, +/-5%",CL05C101JB5NNNC,Samsung,8
"CAP CER 1206, 1000pF, Д…10%, 2000V, X7R",CC1206KKX7RDBB102,Yageo,3
USB 2.0 PORT & DUAL UART PORTS 64-TQFP,F81532U,Fintek,1
