true_mtbf_hours,predicted_mtbf_hours,family,subfamily,abs_error_hours,error_hours,ape_pct
178062678.06267804,277850658.1654921,resistor,fixed_resistor,99787980.10281408,99787980.10281408,56.0409296257404
128600823.04526749,87604189.53462683,resistor,thermistor,40996633.510640666,-40996633.510640666,31.87898221787418
104166666.66666667,63919494.32601866,resistor,thermistor,40247172.34064801,-40247172.34064801,38.63728544702209
89031339.03133903,123555466.55190854,transistor,bjt,34524127.5205695,34524127.5205695,38.77750003110366
64102564.1025641,98166194.15296432,transistor,bjt,34063630.05040023,34063630.05040023,53.13926287862436
105218855.21885522,133067445.23174806,transistor,mosfet,27848590.012892842,27848590.012892842,26.46729994825336
57155921.35345222,30713468.38091916,capacitor,ceramic_capacitor,26442452.972533062,-26442452.972533062,46.26371572074384
85733882.03017832,59920020.836861186,capacitor,ceramic_capacitor,25813861.193317138,-25813861.193317138,30.10928769588511
100160256.41025639,124347824.0185112,inductor,fixed_inductor,24187567.60825482,24187567.60825482,24.148867500081618
77160493.82716048,53369904.713432774,capacitor,ceramic_capacitor,23790589.113727704,-23790589.113727704,30.832603491391108
63131313.13131314,85445451.46765754,transistor,mosfet,22314138.3363444,22314138.3363444,35.345595124769524
51440329.21810699,30297664.061484765,inductor,fixed_inductor,21142665.156622227,-21142665.156622227,41.101341064473615
40064102.56410256,60977635.87720107,crystal,quartz_crystal,20913533.313098513,20913533.313098513,52.2001791494939
79138968.0278569,61792002.55888616,diode,signal_or_rectifier_diode,17346965.46897074,-17346965.46897074,21.91962556659143
64300411.522633746,47207297.48728826,diode,zener_diode,17093114.035345487,-17093114.035345487,26.583210947769302
22326531.77869227,35791664.894897595,capacitor,electrolytic_capacitor,13465133.116205323,13465133.116205323,60.31000806428886
36168981.481481485,22740651.361190733,capacitor,ceramic_capacitor,13428330.120290753,-13428330.120290753,37.12664711657987
41335978.83597883,28579516.567529727,resistor,thermistor,12756462.268449102,-12756462.268449102,30.86043351983207
57870370.37037037,45298717.62779614,inductor,fixed_inductor,12571652.74257423,-12571652.74257423,21.72381593916827
57870370.37037037,45801902.72695765,inductor,fixed_inductor,12068467.643412724,-12068467.643412724,20.85431208781719
52418813.741277516,63376597.90037436,resistor,fixed_resistor,10957784.159096844,10957784.159096844,20.904296333718957
48225308.6419753,57650313.10992124,resistor,thermistor,9425004.46794594,9425004.46794594,19.54368926473271
38580246.91358025,29588206.15442265,capacitor,ceramic_capacitor,8992040.759157605,-8992040.759157605,23.307369647736508
33548040.79441761,24576310.75708623,resistor,thermistor,8971730.03733138,-8971730.03733138,26.742932895277377
77160493.82716048,68209603.56587383,capacitor,ceramic_capacitor,8950890.261286646,-8950890.261286646,11.600353778627495
39569484.01392846,47958423.300485685,capacitor,electrolytic_capacitor,8388939.286557227,8388939.286557227,21.200527364987426
28935185.18518518,20641907.108699083,inductor,fixed_inductor,8293278.076486096,-8293278.076486096,28.661569032335954
185185185.18518516,178428105.44196054,capacitor,electrolytic_capacitor,6757079.743224621,-6757079.743224621,3.6488230613412957
26392689.4361677,19781246.89476208,resistor,thermistor,6611442.541405618,-6611442.541405618,25.050279765522905
24112654.320987653,18267075.624739707,inductor,fixed_inductor,5845578.6962479465,-5845578.6962479465,24.242783969079483
27899839.57592244,33679142.0880697,integrated_circuit,op_amp,5779302.512147259,5779302.512147259,20.71446502916381
26041666.666666664,20326511.72597952,capacitor,ceramic_capacitor,5715154.940687146,-5715154.940687146,21.946194972238644
19484973.188676894,13948744.651364924,capacitor,ceramic_capacitor,5536228.537311969,-5536228.537311969,28.412810650050996
23741690.408357073,18509279.565320127,capacitor,ceramic_capacitor,5232410.843036946,-5232410.843036946,22.038914470871617
34722222.222222224,39693775.879681356,crystal,quartz_crystal,4971553.657459132,4971553.657459132,14.3180745334823
21433470.50754458,16531029.165106915,capacitor,ceramic_capacitor,4902441.342437666,-4902441.342437666,22.872830327277175
58063916.75956895,62834882.71828829,resistor,fixed_resistor,4770965.9587193355,4770965.9587193355,8.216748412744785
22964432.68665491,27716238.369321,resistor,thermistor,4751805.682666089,4751805.682666089,20.692022953510445
16187516.187516192,20685280.20424249,transistor,mosfet,4497764.016726298,4497764.016726298,27.785386989728373
18518518.51851852,14161804.121538963,resistor,thermistor,4356714.3969795555,-4356714.3969795555,23.526257743689598
17361111.111111112,13024927.097627146,resistor,thermistor,4336184.013483966,-4336184.013483966,24.97641991766764
14029180.695847364,18286370.35215313,capacitor,ceramic_capacitor,4257189.656305766,4257189.656305766,30.345247870147496
23148148.148148146,18912616.242826737,transistor,bjt,4235531.905321408,-4235531.905321408,18.297497830988483
17361111.11111111,13236738.356243111,transistor,bjt,4124372.754867997,-4124372.754867997,23.75638706803967
18371546.14932393,14253983.253845436,diode,zener_diode,4117562.8954784926,-4117562.8954784926,22.412718352668527
15711412.770236298,11657234.377689429,capacitor,ceramic_capacitor,4054178.39254687,-4054178.39254687,25.804034632882317
22862368.541380886,18973136.694126327,diode,signal_or_rectifier_diode,3889231.8472545594,-3889231.8472545594,17.011500099891443
21433470.50754458,17608175.798632566,capacitor,ceramic_capacitor,3825294.708912015,-3825294.708912015,17.847294993899897
8793218.669761878,12504876.3625721,capacitor,electrolytic_capacitor,3711657.6928102225,3711657.6928102225,42.21045594571498
15129508.593560878,11432901.18915838,capacitor,electrolytic_capacitor,3696607.404402498,-3696607.404402498,24.433096300138757
